"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Pou3f1" 0 5.13517147168127 0.649 0.027 0
"Iigp1" 0 5.08071560788769 0.924 0.022 0
"Fgl2" 2.11510355412558e-237 5.0742907451298 0.134 0.003 1.51652924830804e-234
"Lipg" 9.05059727307116e-288 5.02263066388315 0.157 0.003 6.48927824479202e-285
"Serpinf1" 0 4.98831755967553 0.574 0.033 0
"Tk1" 0 4.90339726036055 0.869 0.033 0
"Rnase6" 0 4.83073954424704 0.407 0.008 0
"Ccnf" 0 4.80439263954509 0.903 0.083 0
"Apol7c" 0 4.75110808724314 0.324 0.005 0
"Fen1" 3.43028617288116e-225 4.73675463873563 0.142 0.005 2.45951518595579e-222
"Hist1h1d" 0 4.72612664890771 0.933 0.081 0
"Cd36" 7.36831325709196e-277 4.72502127316984 0.158 0.003 5.28308060533493e-274
"Cfb" 0 4.71039556202002 0.362 0.01 0
"Gria3" 0 4.70922675456092 0.924 0.035 0
"Ifi213" 1.11100746936864e-36 4.70560679303133 0.037 0.004 7.96592355537314e-34
"Pf4" 0 4.69868508939536 0.557 0.03 0
"Dut" 0 4.67809912277871 0.382 0.011 0
"Anpep" 0 4.63162081766134 0.332 0.004 0
"Gm4349" 2.9051547898464e-157 4.62514422008246 0.093 0.002 2.08299598431987e-154
"Axl" 5.53119797941487e-249 4.62138666645571 0.141 0.003 3.96586895124046e-246
"Mcm2" 6.0115867828407e-190 4.60473517190111 0.106 0.002 4.31030772329678e-187
"Cdca3" 0 4.58839683355018 0.299 0.006 0
"Esco2" 0 4.58735659724947 0.888 0.166 0
"Mgst2" 7.11452756163007e-136 4.56847325500718 0.087 0.003 5.10111626168876e-133
"Acod1" 0 4.56469694621885 0.182 0.002 0
"Slamf9" 0 4.52395481012407 0.558 0.018 0
"Pianp" 0 4.49964378521512 0.373 0.009 0
"Cd177" 0 4.4071834925739 0.54 0.013 0
"Tceal9" 7.93909141445849e-72 4.36388341093381 0.127 0.027 5.69232854416674e-69
"C330027C09Rik" 0 4.32352657542238 0.201 0.003 0
"Gbp2" 0 4.30342737059656 0.228 0.005 0
"Bub1b" 0 4.27487433365508 0.188 0.004 0
"Mcm5" 5.34535927404073e-09 4.26938877160849 0.184 0.145 3.8326225994872e-06
"Cnrip1" 2.10217841035632e-84 4.25471925389293 0.062 0.003 1.50726192022548e-81
"Prok2" 0 4.23370655928517 0.671 0.014 0
"Bcl2a1b" 0 4.19501079983601 0.773 0.044 0
"Cd69" 0 4.18802366991231 0.973 0.069 0
"Plac8" 0 4.17524747335109 0.448 0.005 0
"H2-Q10" 0 4.17114198872369 0.385 0.012 0
"Serpinb9" 0 4.15406084880545 0.466 0.009 0
"Ly6g" 0 4.12454717466277 0.198 0.003 0
"Cd34" 0 4.1130551687477 0.872 0.05 0
"Egr3" 0 4.08949231420871 0.68 0.043 0
"Orm1" 0 4.07061748772266 0.259 0.005 0
"Olfm1" 0 4.04955722052393 0.455 0.044 0
"Aurkb" 0 4.03907129813488 0.578 0.007 0
"Rgcc" 0 4.01254781903365 0.297 0.018 0
"Lmnb1" 0 4.00437712713871 0.903 0.364 0
"Cks1b" 1.47691526136825e-212 3.99626420523065 0.157 0.009 1.05894824240103e-209
"Ccl2" 0 3.97597995354507 0.88 0.142 0
"Perp" 0 3.9501910668528 0.442 0.022 0
"Gm42418" 0 3.93909269135653 0.605 0.011 0
"Atp6v0d2" 0 3.9314542133401 0.33 0.013 0
"Ifit2" 1.52981061734118e-53 3.90418515477491 0.055 0.006 1.09687421263363e-50
"S100a8" 1.11639410575217e-191 3.89028897673327 0.111 0.003 8.00454573824304e-189
"Ltb" 0 3.86029372474037 0.834 0.091 0
"Dkk2" 5.63004215371657e-198 3.84535002260389 0.161 0.011 4.03674022421478e-195
"Bzw2" 0 3.82620256087145 0.685 0.053 0
"Ccnb1" 0 3.81423827357764 0.276 0.004 0
"Csrp2" 0 3.7883109423953 0.172 0.002 0
"Lmo1" 0 3.78416545324261 0.934 0.27 0
"Slpi" 0 3.78344814348478 0.597 0.04 0
"Cenpe" 0 3.71677405431526 0.257 0.008 0
"Ngp" 0 3.70267679267005 0.973 0.17 0
"H2-M2" 0 3.67164297143129 0.239 0.004 0
"Ctsg" 7.28354929288189e-99 3.67068050251466 0.086 0.007 5.22230484299631e-96
"Tmem158" 0 3.66972949417372 0.181 0.004 0
